Time (ms),dshot,Voltage (V),Current (A),RPM,Thrust (g)
3613,118,0.00,0.00,0,0
3615,118,16.82,0.00,0,0
3617,118,16.82,0.00,0,0
3619,118,16.82,0.00,0,0
3621,118,16.82,0.00,0,0
3623,118,16.82,0.00,0,0
3625,118,16.82,0.00,0,0
3627,118,16.82,0.00,0,0
3629,118,16.82,0.00,0,0
3631,118,16.82,0.00,0,0
3635,118,-281.60,0.00,1971,0
3637,118,-281.60,0.00,1971,0
3639,118,-281.60,0.00,1971,0
3641,118,-281.60,0.00,1971,0
3643,118,-281.60,0.00,1971,0
3645,118,-281.60,0.00,1971,0
3647,118,-281.60,0.00,1971,0
3649,118,-281.60,0.00,1971,0
3651,118,-281.60,0.00,1971,0
3653,118,-281.60,0.00,1971,0
3655,118,-281.60,0.00,1971,0
3657,118,-281.60,0.00,1971,0
3659,118,-281.60,0.00,1971,0
3661,118,-281.60,0.00,1971,0
3663,118,-281.60,0.00,1971,0
3665,118,-281.60,0.00,1971,0
3668,118,-281.60,0.00,1971,0
3670,118,-281.60,0.00,1971,0
3673,118,-281.60,0.00,1971,0
3675,118,-281.60,0.00,1971,0
3678,118,-281.60,0.00,1971,0
3680,118,-281.60,0.00,1971,0
3683,118,-281.60,0.00,1971,0
3686,118,-281.60,0.00,1971,0
3688,118,-281.60,0.00,1971,0
3691,118,-281.60,0.00,1971,0
3693,118,-281.60,0.00,1971,0
3696,118,-281.60,0.00,1971,0
3699,118,-281.60,0.00,1971,0
3701,118,-281.60,0.00,1971,0
3704,118,-281.60,0.00,1971,0
3706,118,-281.60,0.00,1971,0
3709,118,-281.60,0.00,1971,0
3712,118,-281.60,0.00,1971,0
3714,118,-281.60,0.00,1971,0
3717,118,-281.60,0.00,1971,0
3719,118,-281.60,0.00,1971,0
3722,118,-281.60,0.00,1971,0
3725,118,-281.60,0.00,1971,0
3727,118,-281.60,0.00,1971,0
3730,118,-281.60,0.00,1971,0
3732,118,-281.60,0.00,1971,0
3735,118,-281.60,0.00,1971,0
3738,118,-281.60,0.00,1971,0
3740,118,-281.60,0.00,1971,0
3743,118,-281.60,0.00,1971,0
3746,118,-281.60,0.00,1971,0
3748,118,-281.60,0.00,1971,0
3751,118,-281.60,0.00,1971,0
3754,118,-281.60,0.00,1971,0
3756,118,-281.60,0.00,1971,0
3759,118,-281.60,0.00,1971,0
3761,118,-281.60,0.00,1971,0
3764,118,-281.60,25.60,3314,0
3766,118,-281.60,25.60,3314,0
3769,118,-281.60,51.20,1114,0
3772,118,-281.60,51.20,1114,0
3775,118,-281.60,51.20,1114,0
3777,118,-281.60,179.20,2328,0
3780,118,-281.60,409.60,2628,0
3783,118,-281.60,537.60,1214,0
3786,118,-281.60,691.20,100,0
3790,118,16.82,6.70,600,0
3792,118,16.81,6.50,600,0
3795,118,16.81,6.10,600,0
3796,118,16.81,6.10,600,0
3798,118,16.81,6.00,600,0
3800,118,16.81,5.90,600,0
3802,118,16.81,5.80,228,0
3805,118,16.81,6.00,228,0
3807,118,16.81,5.60,228,1
3809,118,16.81,5.10,228,1
3812,118,16.81,5.10,228,1
3814,118,16.81,5.30,757,1
3816,118,16.80,6.00,757,1
3819,118,16.80,5.80,757,2
3821,118,16.80,5.60,757,2
3823,118,16.80,5.60,757,2
3826,118,16.82,5.60,757,2
3828,118,16.82,5.30,757,2
3831,118,16.82,5.10,757,2
3833,118,16.82,5.10,1100,2
3835,118,16.82,4.80,1100,2
3838,118,16.82,4.60,1100,2
3840,118,16.82,4.70,1100,2
3843,118,16.82,4.50,1100,2
3845,118,16.82,4.20,1228,2
3847,118,16.82,4.20,1228,2
3850,118,16.82,3.70,1228,2
3852,118,16.82,3.70,1228,2
3855,118,16.82,3.50,1228,2
3857,118,16.82,3.50,1271,2
3859,118,16.82,3.50,1271,2
3862,118,16.82,3.50,1271,2
3864,118,16.82,3.40,1271,2
3867,118,16.82,3.30,1271,2
3869,118,16.82,3.20,1271,2
3872,118,16.82,3.10,1271,2
3874,118,16.82,3.10,1271,2
3877,118,16.82,2.90,1271,2
3879,118,16.82,2.90,1328,2
3881,118,16.82,3.00,1328,2
3884,118,16.82,3.00,1328,2
3886,118,16.82,2.70,1328,2
3889,118,16.82,3.00,1328,3
3891,118,16.82,2.80,1328,3
3894,118,16.82,2.70,1342,3
3896,118,16.81,2.70,1342,3
3898,118,16.81,2.40,1342,3
3901,118,16.81,2.60,1342,3
3903,118,16.82,2.60,1342,3
3906,118,16.82,2.50,1342,3
3908,118,16.82,2.40,1342,3
3911,118,16.82,2.60,1342,3
3916,118,16.82,2.40,1357,3
3917,118,16.82,2.30,1357,3
3919,118,16.82,2.40,1357,3
3920,118,16.82,2.40,1357,3
3923,118,16.82,2.20,1357,3
3925,118,16.82,2.30,1357,3
3928,118,16.82,2.40,1357,3
3930,118,16.82,2.20,1357,3
3932,118,16.82,2.20,1357,3
3935,118,16.81,2.30,1357,3
3937,118,16.81,2.30,1357,3
3940,118,16.81,2.30,1357,3
3942,118,16.81,2.30,1357,3
3945,118,16.82,2.20,1357,3
3947,118,16.82,2.30,1357,3
3949,118,16.82,2.30,1357,3
3952,118,16.82,2.20,1357,3
3954,118,16.82,2.40,1342,3
3957,118,16.82,2.40,1342,3
3959,118,16.82,2.30,1342,3
3962,118,16.82,2.30,1342,3
3964,118,16.82,2.30,1342,3
3966,118,16.82,2.20,1342,3
3969,118,16.82,2.30,1342,3
3971,118,16.82,2.40,1342,3
3974,118,16.82,2.20,1342,3
3976,118,16.82,2.40,1342,3
3979,118,16.82,2.40,1342,3
3981,118,16.82,2.30,1342,3
3983,118,16.82,2.30,1342,3
3986,118,16.82,2.20,1342,3
3988,118,16.82,2.10,1342,3
3991,118,16.82,2.20,1342,3
3994,118,16.82,2.20,1342,2
3996,118,16.82,2.10,1342,2
3998,118,16.82,2.40,1342,2
4000,1047,16.82,2.30,1342,2
4003,1047,16.82,2.30,1342,2
4006,1047,16.82,2.20,1342,2
4008,1047,16.82,2.10,1342,2
4011,1047,16.82,2.10,1342,2
4016,1047,16.63,36.50,1857,2
4017,1047,16.50,44.10,1857,2
4019,1047,16.50,46.80,1857,2
4021,1047,16.50,55.10,1857,2
4023,1047,16.41,59.70,1857,2
4026,1047,16.41,75.70,1857,2
4029,1047,16.33,84.30,1857,4
4031,1047,16.17,99.90,3157,4
4034,1047,16.07,111.00,3157,4
4037,1047,16.07,121.80,3157,4
4039,1047,16.03,130.90,3157,11
4042,1047,16.03,126.80,3157,11
4045,1047,16.09,128.80,3157,11
4048,1047,16.26,147.50,6400,11
4050,1047,16.30,153.80,6400,29
4054,1047,16.34,143.90,6400,29
4056,1047,16.40,146.10,6400,29
4059,1047,16.45,141.50,6400,29
4061,1047,16.45,132.90,6400,29
4064,1047,16.48,121.10,8928,75
4067,1047,16.44,114.10,8928,75
4070,1047,16.47,114.60,8928,75
4073,1047,16.47,113.40,8928,75
4075,1047,16.46,109.60,8928,134
4078,1047,16.54,107.20,8928,134
4081,1047,16.57,106.70,10028,134
4084,1047,16.58,101.30,10028,134
4087,1047,16.57,96.70,10028,186
4090,1047,16.58,95.20,10028,186
4093,1047,16.57,92.60,10028,186
4096,1047,16.61,89.20,11328,186
4099,1047,16.62,87.70,11328,226
4101,1047,16.61,83.50,11328,226
4104,1047,16.62,81.60,11328,226
4107,1047,16.61,80.10,11328,226
4110,1047,16.64,77.70,11614,253
4113,1047,16.61,75.50,11614,253
4116,1047,16.64,72.40,11614,253
4119,1047,16.64,69.20,11614,253
4121,1047,16.64,69.80,11614,273
4124,1047,16.65,66.50,11614,273
4127,1047,16.63,65.00,11871,273
4130,1047,16.65,62.80,11871,273
4137,1047,16.64,60.40,11871,285
4139,1047,16.65,59.10,12242,285
4141,1047,16.66,58.10,12242,285
4143,1047,16.65,58.60,12242,285
4145,1047,16.66,58.80,12242,292
4147,1047,16.65,57.40,12242,292
4150,1047,16.66,57.70,12242,292
4157,1047,16.65,56.60,12342,297
4159,1047,16.66,55.10,12342,297
4161,1047,16.65,53.30,12342,297
4163,1047,16.64,52.70,12342,297
4165,1047,16.66,53.20,12342,297
4167,1047,16.66,54.10,12342,300
4170,1047,16.66,53.10,12342,300
4177,1047,16.66,51.10,12328,300
4179,1047,16.66,52.50,12328,304
4181,1047,16.66,52.30,12328,304
4183,1047,16.66,51.40,12328,304
4185,1047,16.67,50.00,12328,304
4187,1047,16.66,49.50,11885,304
4190,1047,16.66,48.80,11885,307
4197,1047,16.66,48.30,11885,307
4199,1047,16.65,48.70,11885,307
4201,1047,16.65,48.40,11885,307
4203,1047,16.66,47.90,12200,310
4205,1047,16.66,48.40,12200,310
4207,1047,16.66,49.50,12200,310
4210,1047,16.66,49.20,12200,310
4217,1047,16.66,46.40,12200,313
4219,1047,16.66,48.00,12128,313
4221,1047,16.66,48.60,12128,313
4223,1047,16.66,47.90,12128,313
4225,1047,16.66,47.00,12128,313
4227,1047,16.66,46.50,12128,315
4230,1047,16.66,46.20,12128,315
4234,1047,16.66,46.30,12128,315
4236,1047,16.67,46.50,12114,315
4239,1047,16.66,45.10,12114,317
4242,1047,16.67,44.90,12114,317
4245,1047,16.66,46.30,12114,317
4247,1047,16.67,47.20,12114,317
4250,1047,16.66,46.60,12114,318
4254,1047,16.66,46.90,12114,318
4256,1047,16.67,45.90,12071,318
4259,1047,16.66,48.20,12071,318
4262,1047,16.66,47.40,12071,317
4265,1047,16.66,47.00,12071,317
4267,1047,16.66,47.10,12071,317
4270,1047,16.66,48.30,12071,317
4274,1047,16.66,46.30,12500,318
4276,1047,16.66,47.30,12500,318
4279,1047,16.66,46.00,12500,318
4282,1047,16.66,46.30,12500,318
4285,1047,16.66,45.90,12500,318
4288,1047,16.67,47.00,12500,318
4290,1047,16.66,45.00,12500,318
4294,1047,16.65,45.40,12100,318
4296,1047,16.66,46.60,12100,317
4299,1047,16.66,45.70,12100,317
4302,1047,16.66,47.00,12100,317
4305,1047,16.66,45.40,12100,317
4308,1047,16.67,46.20,12100,318
4310,1047,16.66,46.30,12428,318
4314,1047,16.66,47.40,12428,318
4316,1047,16.66,46.70,12428,318
4319,1047,16.66,47.60,12428,318
4322,1047,16.65,48.00,12428,318
4325,1047,16.66,47.00,12428,318
4328,1047,16.66,48.40,12314,318
4331,1047,16.66,46.90,12314,319
4334,1047,16.67,46.40,12314,319
4336,1047,16.67,46.70,12314,319
4339,1047,16.66,47.50,12314,319
4342,1047,16.66,48.00,12314,320
4345,1047,16.66,46.80,12242,320
4348,1047,16.66,46.80,12242,320
4351,1047,16.66,47.30,12242,320
4354,1047,16.66,48.40,12242,319
4356,1047,16.66,48.00,12242,319
4359,1047,16.65,46.90,12242,319
4362,1047,16.66,47.10,12242,319
4365,1047,16.66,47.30,12014,319
4368,1047,16.67,48.30,12014,320
4371,1047,16.66,48.40,12014,320
4374,1047,16.66,46.70,12014,320
4376,1047,16.67,47.00,12014,320
4379,1047,16.66,46.70,12014,320
4382,1047,16.66,47.10,12014,320
4385,1047,16.66,48.40,12157,320
4388,1047,16.66,47.00,12157,320
4391,1047,16.66,46.80,12157,319
4394,1047,16.66,47.30,12157,319
4396,1047,16.66,46.40,12157,319
4399,1047,16.66,47.20,12000,319
4402,1047,16.66,46.50,12000,318
4405,1047,16.66,46.10,12000,318
4408,1047,16.66,48.30,12000,318
4411,1047,16.66,47.30,12000,318
4414,1047,16.66,47.30,12000,316
4416,1047,16.66,46.80,12428,316
4419,1047,16.66,47.70,12428,316
4422,1047,16.66,47.40,12428,316
4425,1047,16.65,49.00,12428,318
4428,1047,16.66,47.00,12428,318
4431,1047,16.66,46.70,12428,318
4434,1047,16.66,47.80,12000,318
4437,1047,16.66,48.00,12000,318
4439,1047,16.66,48.20,12000,318
4442,1047,16.66,46.70,12000,318
4445,1047,16.66,45.80,12000,318
4448,1047,16.66,46.10,12000,317
4451,1047,16.65,45.30,12000,317
4454,1047,16.66,45.60,12214,317
4457,1047,16.66,46.70,12214,317
4460,1047,16.66,47.00,12214,319
4462,1047,16.66,47.50,12214,319
4465,1047,16.66,46.00,12214,319
4468,1047,16.66,45.80,12214,319
4471,1047,16.66,46.20,11928,318
4474,1047,16.66,46.40,11928,318
4477,1047,16.66,45.20,11928,318
4479,1047,16.66,45.60,11928,318
4482,1047,16.66,45.90,11928,319
4485,1047,16.66,47.00,11928,319
4488,1047,16.66,46.30,11985,319
4491,1047,16.66,46.80,11985,319
4494,1047,16.66,45.60,11985,320
4497,1047,16.66,46.10,11985,320
4499,1047,16.66,47.30,11985,320
4502,1047,16.66,45.80,11985,320
4505,1047,16.65,47.40,12485,318
4508,1047,16.65,46.30,12485,318
4511,1047,16.66,46.20,12485,318
4514,1047,16.66,46.80,12485,318
4517,1047,16.66,47.80,12485,319
4520,1047,16.66,46.20,12485,319
4522,1047,16.66,46.60,12314,319
4525,1047,16.66,46.80,12314,319
4528,1047,16.66,45.60,12314,319
4531,1047,16.66,46.80,12314,320
4534,1047,16.65,45.20,12314,320
4537,1047,16.65,46.00,12314,320
4540,1047,16.66,47.30,12314,320
4543,1047,16.66,46.60,12085,320
4545,1047,16.66,48.20,12085,320
4548,1047,16.66,46.20,12085,320
4551,1047,16.65,46.30,12085,320
4554,1047,16.66,46.30,12085,320
4557,1047,16.66,47.10,12085,320
4560,1047,16.66,46.30,12000,320
4563,1047,16.66,47.30,12000,320
4565,1047,16.66,45.80,12000,319
4568,1047,16.66,47.30,12000,319
4571,1047,16.66,48.40,12000,319
4574,1047,16.66,47.60,12000,319
4577,1047,16.66,47.50,12000,320
4580,1047,16.66,47.70,12342,320
4583,1047,16.66,47.70,12342,320
4585,1047,16.66,46.50,12342,320
4588,1047,16.66,47.80,12342,319
4591,1047,16.66,47.00,12342,319
4594,1047,16.65,47.20,11985,319
4597,1047,16.66,46.70,11985,319
4600,1047,16.66,47.70,11985,320
4603,1047,16.66,49.40,11985,320
4605,1047,16.65,47.30,11985,320
4608,1047,16.66,47.00,11985,320
4611,1047,16.66,46.50,11985,320
4614,1047,16.66,47.00,12171,320
4617,1047,16.66,48.90,12171,320
4620,1047,16.65,48.60,12171,320
4623,1047,16.66,47.10,12171,319
4626,1047,16.66,48.40,12171,319
4628,1047,16.66,49.60,12171,319
4631,1047,16.66,48.90,12171,319
4634,1047,16.66,49.80,12157,320
4637,1047,16.66,47.70,12157,320
4640,1047,16.66,47.30,12157,320
4643,1047,16.66,48.00,12157,320
4646,1047,16.66,46.50,12157,320
4648,1047,16.66,46.10,12157,320
4651,1047,16.66,47.30,12042,320
4654,1047,16.66,46.50,12042,320
4657,1047,16.66,47.50,12042,319
4660,1047,16.66,45.60,12042,319
4663,1047,16.66,47.00,12042,319
4666,1047,16.66,46.60,12042,319
4669,1047,16.66,47.50,12042,320
4671,1047,16.66,46.10,12414,320
4674,1047,16.66,45.90,12414,320
4677,1047,16.66,46.00,12414,320
4680,1047,16.65,46.30,12414,319
4683,1047,16.66,47.60,12414,319
4686,1047,16.66,46.80,12357,319
4689,1047,16.66,47.80,12357,319
4692,1047,16.66,46.30,12357,320
4694,1047,16.66,46.40,12357,320
4697,1047,16.67,47.10,12357,320
4700,1047,16.66,45.20,12357,320
4703,1047,16.65,45.90,12414,320
4706,1047,16.66,45.90,12414,321
4709,1047,16.66,46.10,12414,321
4711,1047,16.66,46.20,12414,321
4714,1047,16.66,47.50,12414,321
4717,1047,16.66,45.60,12414,320
4720,1047,16.66,45.40,12414,320
4723,1047,16.66,45.90,12385,320
4726,1047,16.66,45.90,12385,320
4729,1047,16.66,46.00,12385,321
4732,1047,16.66,45.60,12385,321
4734,1047,16.64,46.10,12385,321
4737,1047,16.66,46.20,12385,321
4740,1047,16.66,47.40,12385,320
4743,1047,16.66,46.60,12128,320
4746,1047,16.66,46.10,12128,320
4749,1047,16.66,46.10,12128,320
4752,1047,16.66,45.30,12128,321
4754,1047,16.66,46.20,12128,321
4757,1047,16.66,45.80,12128,321
4760,1047,16.66,44.80,12357,321
4763,1047,16.65,45.20,12357,320
4766,1047,16.66,45.90,12357,320
4769,1047,16.66,46.30,12357,320
4772,1047,16.66,44.90,12357,320
4775,1047,16.66,45.60,12357,319
4777,1047,16.66,45.70,12557,319
4780,1047,16.66,45.50,12557,319
4783,1047,16.66,46.30,12557,319
4786,1047,16.65,46.90,12557,320
4789,1047,16.66,46.00,12557,320
4792,1047,16.65,46.80,12557,320
4795,1047,16.65,48.20,12042,320
4798,1047,16.66,46.40,12042,319
4800,1047,16.66,48.00,12042,319
4803,1047,16.66,48.40,12042,319
4806,1047,16.66,46.90,12042,319
4809,1047,16.66,46.90,12042,320
4812,1047,16.65,47.70,12042,320
4815,1047,16.65,46.80,12328,320
4817,1047,16.66,47.10,12328,320
4820,1047,16.64,47.80,12328,320
4823,1047,16.66,48.00,12328,320
4826,1047,16.66,46.70,12328,320
4832,1047,16.66,46.10,12471,318
4835,1047,16.66,45.40,12471,318
4836,1047,16.66,46.60,12471,318
4838,1047,16.66,46.60,12471,318
4840,1047,16.66,45.10,12471,318
4843,1047,16.66,44.70,12000,318
4846,1047,16.66,45.90,12000,318
4849,1047,16.66,44.30,12000,318
4852,1047,16.66,44.40,12000,318
4855,1047,16.66,45.00,12000,318
4858,1047,16.65,45.30,12000,318
4860,1047,16.65,44.00,12085,318
4863,1047,16.66,43.70,12085,318
4866,1047,16.66,45.50,12085,318
4869,1047,16.65,45.00,12085,317
4872,1047,16.65,44.90,12085,317
4875,1047,16.66,46.20,12085,317
4878,1047,16.66,44.40,12014,317
4881,1047,16.64,44.30,12014,315
4883,1047,16.64,45.60,12014,315
4886,1047,16.65,45.10,12014,315
4889,1047,16.66,47.60,12014,315
4892,1047,16.66,45.70,12014,314
4895,1047,16.65,47.10,12014,314
4898,1047,16.66,45.50,12257,314
4901,1047,16.66,46.30,12257,314
4904,1047,16.65,47.10,12257,315
4906,1047,16.65,45.60,12257,315
4909,1047,16.66,45.80,12257,315
4912,1047,16.65,45.40,12257,315
4915,1047,16.66,45.20,12257,316
4918,1047,16.65,45.20,12257,316
4921,1047,16.65,46.30,12257,316
4923,1047,16.66,46.60,12257,316
4926,1047,16.65,45.40,12257,317
4929,1047,16.65,46.50,12257,317
4932,1047,16.65,46.30,12257,317
4935,1047,16.66,47.30,12085,317
4938,1047,16.66,47.10,12085,319
4941,1047,16.66,47.40,12085,319
4943,1047,16.66,46.20,12085,319
4946,1047,16.65,46.90,12085,319
4949,1047,16.65,48.50,12085,320
4952,1047,16.65,47.00,12414,320
4955,1047,16.66,46.50,12414,320
4958,1047,16.65,47.90,12414,320
4961,1047,16.65,46.00,12414,320
4964,1047,16.66,47.40,12414,320
4966,1047,16.66,46.20,12414,320
4969,1047,16.66,46.40,12271,320
4972,1047,16.66,47.60,12271,320
4975,1047,16.66,46.10,12271,320
4978,1047,16.66,45.50,12271,320
4981,1047,16.66,46.50,12271,320
4984,1047,16.65,47.00,12271,319
4986,1047,16.66,46.70,12271,319
4989,1047,16.66,47.80,12200,319
4992,1047,16.66,46.10,12200,319
4995,1047,16.66,46.00,12200,318
4998,1047,16.66,47.20,12200,318
5001,1047,16.66,46.60,12200,318
5004,1047,16.65,47.20,12200,318
5007,1047,16.65,45.30,12314,317
5009,1047,16.64,47.10,12314,317
5012,1047,16.65,46.70,12314,317
5015,1047,16.65,46.70,12314,317
5018,1047,16.65,48.90,12314,318
5021,1047,16.65,47.30,12314,318
5024,1047,16.66,46.90,12314,318
5027,1047,16.65,47.60,12357,318
5029,1047,16.66,48.30,12357,318
5032,1047,16.66,47.40,12357,318
5035,1047,16.66,46.10,12357,318
5038,1047,16.65,45.50,12357,318
5041,1047,16.65,47.00,12114,318
5044,1047,16.65,48.50,12114,318
5047,1047,16.65,48.00,12114,318
5049,1047,16.66,47.60,12114,318
5052,1047,16.65,46.40,12114,318
5055,1047,16.65,46.30,12114,319
5058,1047,16.65,47.60,12114,319
5061,1047,16.65,48.30,12185,319
5064,1047,16.65,48.40,12185,319
5067,1047,16.65,48.40,12185,319
5070,1047,16.65,47.90,12185,319
5072,1047,16.66,48.00,12185,319
5075,1047,16.66,50.10,12185,319
5078,1047,16.66,48.00,12242,320
5081,1047,16.66,48.70,12242,320
5084,1047,16.65,48.50,12242,320
5087,1047,16.65,48.90,12242,320
5090,1047,16.66,48.80,12242,320
5092,1047,16.66,49.90,12242,320
5095,1047,16.65,48.10,12242,320
5098,1047,16.66,48.70,12257,320
5101,1047,16.65,49.70,12257,317
5104,1047,16.66,47.20,12257,317
5107,1047,16.65,48.50,12257,317
5110,1047,16.66,46.70,12257,317
5113,1047,16.66,47.70,12257,317
5115,1047,16.66,46.40,12257,317
5118,1047,16.66,47.30,12171,317
5121,1047,16.65,46.20,12171,317
5124,1047,16.65,46.20,12171,316
5127,1047,16.66,46.40,12171,316
5130,1047,16.66,47.50,12171,316
5133,1047,16.66,47.40,12157,316
5136,1047,16.66,45.90,12157,316
5138,1047,16.66,47.20,12157,316
5141,1047,16.66,47.10,12157,316
5144,1047,16.65,47.70,12157,316
5147,1047,16.66,47.90,12157,317
5150,1047,16.65,45.70,12157,317
5153,1047,16.66,45.90,12285,317
5155,1047,16.64,45.20,12285,317
5158,1047,16.65,46.20,12285,317
5161,1047,16.66,45.20,12285,317
5164,1047,16.66,45.30,12285,317
5167,1047,16.66,46.20,12400,317
5170,1047,16.66,44.50,12400,317
5173,1047,16.66,44.90,12400,317
5176,1047,16.64,44.40,12400,317
5178,1047,16.65,45.70,12400,317
5181,1047,16.63,44.70,12400,317
5184,1047,16.64,46.80,12400,317
5187,1047,16.65,45.20,12457,317
5190,1047,16.65,45.90,12457,317
5196,1047,16.65,44.80,12128,316
5197,1047,16.65,45.90,12128,316
5199,1047,16.66,45.40,12128,316
5201,1047,16.66,44.00,12128,316
5204,1047,16.66,45.30,12128,316
5207,1047,16.66,45.10,12128,316
5210,1047,16.65,43.80,11985,316
5213,1047,16.66,43.90,11985,316
5216,1047,16.65,44.50,11985,316
5219,1047,16.64,46.00,11985,315
5221,1047,16.66,44.70,11985,315
5224,1047,16.65,45.30,12314,315
5227,1047,16.66,44.80,12314,315
5230,1047,16.65,45.10,12314,315
5233,1047,16.65,46.10,12314,315
5236,1047,16.66,44.10,12314,315
5239,1047,16.66,44.80,12314,315
5242,1047,16.65,46.10,12171,314
5244,1047,16.65,45.30,12171,314
5247,1047,16.66,45.90,12171,314
5250,1047,16.65,45.20,12171,314
5256,1047,16.65,46.80,12114,315
5257,1047,16.65,45.30,12114,315
5259,1047,16.66,45.00,12114,315
5261,1047,16.66,45.90,12114,315
5264,1047,16.65,46.60,12114,315
5267,1047,16.66,46.70,12114,315
5270,1047,16.64,47.10,12114,315
5276,1047,16.64,48.20,12114,315
5277,1047,16.65,49.30,12114,315
5279,1047,16.63,48.80,12114,315
5282,1047,16.63,47.30,12114,315
5284,1047,16.65,48.20,12114,315
5287,1047,16.65,48.50,12114,315
5290,1047,16.66,46.60,12157,315
5296,1047,16.66,47.50,12157,315
5297,1047,16.66,48.40,12157,315
5299,1047,16.65,47.90,12157,316
5302,1047,16.65,46.40,12157,316
5304,1047,16.64,47.00,12157,316
5307,1047,16.64,47.60,12157,316
5310,1047,16.65,45.90,12157,315
5316,1047,16.66,46.60,12157,315
5317,1047,16.66,45.50,12157,315
5319,1047,16.64,45.10,12085,315
5322,1047,16.64,45.90,12085,317
5324,1047,16.66,45.20,12085,317
5327,1047,16.65,46.30,12085,317
5330,1047,16.64,45.60,12085,317
5334,1047,16.66,46.20,12085,316
5336,1047,16.66,44.70,12085,316
5339,1047,16.66,45.10,12200,316
5342,1047,16.66,46.10,12200,316
5345,1047,16.65,45.90,12200,316
5347,1047,16.65,45.00,12200,316
5350,1047,16.65,44.60,12200,316
5354,1047,16.64,45.00,12200,316
5356,1047,16.64,46.00,12428,316
5359,1047,16.65,47.10,12428,316
5362,1047,16.65,46.50,12428,316
5365,1047,16.66,45.90,12428,316
5367,1047,16.65,45.60,12428,316
5370,1047,16.65,45.50,12428,315
5374,1047,16.65,46.80,12428,315
5376,1047,16.66,46.80,12500,315
5379,1047,16.64,46.10,12500,315
5382,1047,16.65,46.10,12500,316
5385,1047,16.65,46.90,12500,316
5388,1047,16.64,48.10,12500,316
5390,1047,16.66,46.00,12085,316
5394,1047,16.66,47.70,12085,317
5396,1047,16.65,48.40,12085,317
5399,1047,16.65,47.70,12085,317
5402,1047,16.65,48.80,12085,317
5405,1047,16.65,47.10,12085,317
5408,1047,16.65,47.60,12157,317
5410,1047,16.65,47.00,12157,317
5414,1047,16.66,47.80,12157,317
5416,1047,16.65,46.90,12157,317
5419,1047,16.66,46.70,12157,317
5422,1047,16.65,46.40,12157,317
5425,1047,16.66,46.80,12114,317
5428,1047,16.64,47.60,12114,316
5430,1047,16.64,46.20,12114,316
5434,1047,16.64,46.90,12114,316
5436,1047,16.65,46.20,12114,316
5439,1047,16.65,46.00,12114,316
5442,1047,16.66,47.20,12114,316
5445,1047,16.65,45.40,12457,316
5448,1047,16.65,45.90,12457,316
5451,1047,16.65,45.10,12457,316
5454,1047,16.65,46.00,12457,316
5456,1047,16.66,44.70,12457,316
5459,1047,16.66,45.90,12457,316
5462,1047,16.65,44.00,12285,316
5465,1047,16.65,44.00,12285,316
5468,1047,16.65,45.00,12285,316
5471,1047,16.65,45.20,12285,316
5474,1047,16.65,45.40,12285,316
5476,1047,16.65,44.00,12285,316
5479,1047,16.66,43.80,12285,316
5482,1047,16.66,44.00,11985,316
5485,1047,16.66,44.50,11985,315
5488,1047,16.65,46.00,11985,315
5491,1047,16.64,45.20,11985,315
5494,1047,16.64,44.60,11985,315
5496,1047,16.65,45.80,11985,316
5499,1047,16.65,44.40,12214,316
5502,1047,16.66,44.70,12214,316
5505,1047,16.65,44.60,12214,316
5508,1047,16.66,44.90,12214,316
5511,1047,16.66,46.10,12214,316
5514,1047,16.66,44.30,12214,316
5516,1047,16.65,45.00,12285,316
5519,1047,16.65,44.90,12285,314
5522,1047,16.65,46.10,12285,314
5525,1047,16.65,45.30,12285,314
5528,1047,16.66,45.80,12285,314
5531,1047,16.65,44.10,12285,314
5534,1047,16.65,44.30,12614,315
5536,1047,16.66,45.20,12614,315
5539,1047,16.64,45.90,12614,315
5542,1047,16.63,45.90,12614,315
5545,1047,16.63,44.50,12614,314
5548,1047,16.64,45.00,12614,314
5551,1047,16.65,45.80,12614,314
5554,1047,16.66,46.40,12428,314
5557,1047,16.66,47.60,12428,315
5559,1047,16.64,45.80,12428,315
5562,1047,16.65,45.20,12428,315
5565,1047,16.65,45.20,12428,315
5568,1047,16.66,46.20,12428,316
5571,1047,16.65,45.60,12428,316
5574,1047,16.64,45.80,12200,316
5577,1047,16.65,44.40,12200,316
5580,1047,16.65,44.90,12200,316
5582,1047,16.65,45.80,12200,316
5585,1047,16.65,44.90,12200,316
5588,1047,16.65,46.00,12200,316
5591,1047,16.65,44.80,12100,314
5594,1047,16.65,45.20,12100,314
5597,1047,16.65,45.00,12100,314
5599,1047,16.64,46.30,12100,314
5602,1047,16.64,44.80,12100,313
5605,1047,16.66,44.70,12100,313
5608,1047,16.65,45.20,12257,313
5611,1047,16.64,45.70,12257,313
5614,1047,16.65,46.90,12257,314
5617,1047,16.65,46.30,12257,314
5620,1047,16.66,45.20,12257,314
5622,1047,16.64,45.20,12257,314
5625,1047,16.64,45.80,12214,315
5628,1047,16.64,46.20,12214,315
5631,1047,16.65,44.80,12214,315
5634,1047,16.66,45.30,12214,315
5637,1047,16.65,45.40,12214,314
5640,1047,16.66,46.10,12214,314
5642,1047,16.66,45.40,12214,314
5645,1047,16.64,46.60,12157,314
5648,1047,16.66,44.90,12157,316
5651,1047,16.66,45.20,12157,316
5654,1047,16.65,46.50,12157,316
5657,1047,16.64,45.70,12157,316
